team_year,year,team,conference,seed,overall,offense,defense,tier,finish
2022 Saint Peter's,2022,Saint Peter's,MAAC,15,4.54,2.45,5.65,D,Elite Eight
2018 Stephen F. Austin,2018,Stephen F. Austin,Southland,14,4.54,3.54,4.48,F,First Round
2019 Old Dominion,2019,Old Dominion,CUSA,14,4.53,2.8,5.26,D,First Round
2018 Penn,2018,Penn,Ivy,16,4.53,3.36,4.64,D,First Round
2012 UNC Asheville,2012,UNC Asheville,Big South,16,4.53,5.52,2.43,F,First Round
2015 Wyoming,2015,Wyoming,MWC,12,4.48,2.64,5.41,D,First Round
2016 Fresno St.,2016,Fresno St.,MWC,14,4.47,4.09,3.8,F,First Round
2014 Louisiana,2014,Louisiana,Sun Belt,14,4.47,5.38,2.45,F,First Round
2017 Nebraska,2017,Nebraska,Big 10,8,4.47,3.57,4.3,F,Second Round
2013 Harvard,2013,Harvard,Ivy,14,4.46,4.18,3.73,F,Second Round
2009 East Tennessee St.,2009,East Tennessee St.,ASUN,16,4.44,4.6,3.22,F,First Round
2018 Marshall,2018,Marshall,CUSA,13,4.43,4.54,3.33,F,Second Round
2008 Cornell,2008,Cornell,Ivy,14,4.41,5.23,2.61,F,First Round
2017 Winthrop,2017,Winthrop,Big South,13,4.39,3.98,3.89,F,First Round
2015 Northeastern,2015,Northeastern,CAA,14,4.38,4.16,3.62,F,First Round
2023 UC Santa Barbara,2023,UC Santa Barbara,Big West,14,4.37,4.8,3.01,D,First Round
2009 American,2009,American,Patriot,14,4.37,3.09,4.78,F,First Round
2024 Eastern Washington,2024,Eastern Washington,Big Sky,14,4.37,4.84,3.01,F,First Round
2024 Vermont,2024,Vermont,America East,14,4.35,4.58,3.21,D,First Round
2013 Pacific,2013,Pacific,Big West,15,4.35,3.71,4.1,F,First Round
2009 Portland St.,2009,Portland St.,Big Sky,13,4.35,4.84,2.87,F,First Round
2024 High Point,2024,High Point,Big South,14,4.35,5.76,2.06,F,First Round
2012 Detroit Mercy,2012,Detroit Mercy,Horizon,15,4.34,4.74,2.97,F,First Round
2011 LIU,2011,LIU,NEC,15,4.34,5.62,2.02,F,First Round
2008 Portland St.,2008,Portland St.,Big Sky,16,4.34,4.53,3.22,F,First Round
2013 Florida Gulf Coast,2013,Florida Gulf Coast,ASUN,15,4.33,3.98,3.7,F,Sweet 16
2022 Colgate,2022,Colgate,Patriot,14,4.32,4.58,3.17,F,First Round
2014 Eastern Kentucky,2014,Eastern Kentucky,OVC,15,4.31,5.15,2.64,F,First Round
2022 Akron,2022,Akron,MAC,13,4.3,4.19,3.56,F,First Round
2010 Oakland,2010,Oakland,Summit,14,4.29,4.94,2.71,F,First Round
2014 American,2014,American,Patriot,15,4.26,2.32,5.47,F,First Round
2009 Cal St. Northridge,2009,Cal St. Northridge,Big West,15,4.25,3.8,3.75,F,First Round
2019 Montana,2019,Montana,Big Sky,15,4.22,4.3,3.34,F,First Round
2012 Vermont,2012,Vermont,America East,16,4.22,3.36,4.32,F,First Round
2018 Charleston,2018,Charleston,CAA,13,4.21,4.47,3.21,F,First Round
2014 Western Michigan,2014,Western Michigan,MAC,14,4.21,3.92,3.71,F,First Round
2011 Akron,2011,Akron,MAC,15,4.2,3.47,4.15,F,First Round
2008 San Diego,2008,San Diego,WCC,13,4.18,2.7,4.92,F,Second Round
2019 Colgate,2019,Colgate,Patriot,15,4.17,4.78,2.79,F,First Round
2023 Kennesaw St.,2023,Kennesaw St.,ASUN,14,4.17,3.63,3.94,F,First Round
2010 New Mexico St.,2010,New Mexico St.,WAC,12,4.16,5.65,1.81,F,First Round
2008 Boise St.,2008,Boise St.,WAC,14,4.15,5.34,2.07,F,First Round
2015 Eastern Washington,2015,Eastern Washington,Big Sky,13,4.15,6.14,1.34,F,First Round
2016 Weber St.,2016,Weber St.,Big Sky,15,4.14,3.39,4.14,F,First Round
2012 Loyola MD,2012,Loyola MD,MAAC,15,4.13,3.23,4.29,F,First Round
2011 Northern Colorado,2011,Northern Colorado,Big Sky,15,4.13,3.99,3.49,F,First Round
2008 UMBC,2008,UMBC,America East,15,4.12,5.4,2.17,F,First Round
2016 UNC Asheville,2016,UNC Asheville,Big South,15,4.1,3.41,4.12,F,First Round
2013 Northwestern St.,2013,Northwestern St.,Southland,14,4.09,5.02,2.32,F,First Round
2018 Iona,2018,Iona,MAAC,15,4.07,4.96,2.54,F,First Round
2015 Albany,2015,Albany,America East,14,4.05,3.46,4.04,F,First Round
2016 Middle Tennessee,2016,Middle Tennessee,CUSA,15,4.03,2.96,4.46,F,Second Round
2010 Vermont,2010,Vermont,America East,16,3.99,3.47,3.9,F,First Round
2022 Jacksonville St.,2022,Jacksonville St.,ASUN,15,3.98,4.01,3.3,F,First Round
2018 Wright St.,2018,Wright St.,Horizon,14,3.98,2.51,4.88,F,First Round
2017 Iona,2017,Iona,MAAC,14,3.97,4.93,2.36,F,First Round
2022 Longwood,2022,Longwood,Big South,14,3.96,4.11,3.18,F,First Round
2009 Robert Morris,2009,Robert Morris,NEC,15,3.95,3.31,3.99,F,First Round
2011 Saint Peter's,2011,Saint Peter's,MAAC,14,3.94,1.19,6.3,D,First Round
2016 Green Bay,2016,Green Bay,Horizon,14,3.94,5.28,1.9,F,First Round
2015 North Florida,2015,North Florida,ASUN,16,3.94,4.77,2.53,F,First Round
2024 Oakland,2024,Oakland,Horizon,14,3.94,4.36,2.87,F,First Round
2011 UC Santa Barbara,2011,UC Santa Barbara,Big West,15,3.93,3.12,4.2,F,First Round
2008 Belmont,2008,Belmont,ASUN,15,3.92,5.13,2.14,F,First Round
2015 Coastal Carolina,2015,Coastal Carolina,Big South,16,3.92,3.53,3.81,F,First Round
2017 Troy,2017,Troy,Sun Belt,15,3.91,4.76,2.54,F,First Round
2016 Buffalo,2016,Buffalo,MAC,14,3.9,4.26,2.96,F,First Round
2022 Delaware,2022,Delaware,CAA,15,3.89,4.27,2.91,F,First Round
2010 UC Santa Barbara,2010,UC Santa Barbara,Big West,15,3.87,2.7,4.49,F,First Round
2024 Troy,2024,Troy,Sun Belt,15,3.84,3.43,3.77,F,First Round
2010 Morgan St.,2010,Morgan St.,MEAC,15,3.82,4.53,2.59,F,First Round
2015 Belmont,2015,Belmont,OVC,15,3.79,5.04,2.07,F,First Round
2021 Morehead St.,2021,Morehead St.,OVC,14,3.78,2.56,4.6,F,First Round
2022 Georgia St.,2022,Georgia St.,Sun Belt,16,3.77,2.95,4.17,F,First Round
2021 Drexel,2021,Drexel,CAA,16,3.75,4.24,2.8,F,First Round
2017 Kent St.,2017,Kent St.,MAC,14,3.75,3.6,3.48,F,First Round
2013 Montana,2013,Montana,Big Sky,13,3.75,3.59,3.5,F,First Round
2022 Montana St.,2022,Montana St.,Big Sky,14,3.75,3.53,3.52,F,First Round
2019 Abilene Christian,2019,Abilene Christian,Southland,15,3.72,3.38,3.68,F,First Round
2013 Albany,2013,Albany,America East,15,3.72,2.9,4.19,F,First Round
2015 UAB,2015,UAB,CUSA,14,3.7,3.72,3.28,F,Second Round
2021 Oral Roberts,2021,Oral Roberts,Summit,15,3.69,4.6,2.45,F,Sweet 16
2022 Yale,2022,Yale,Ivy,14,3.69,2.81,4.22,F,First Round
2021 Iona,2021,Iona,MAAC,15,3.66,3.05,3.84,F,First Round
2017 North Carolina Central,2017,North Carolina Central,MEAC,16,3.66,3.12,3.87,F,First Round
2012 LIU,2012,LIU,NEC,16,3.63,5.62,1.15,F,First Round
2008 American,2008,American,Patriot,15,3.62,3.38,3.68,F,First Round
2023 Northern Kentucky,2023,Northern Kentucky,Horizon,16,3.6,3.11,3.84,F,First Round
2011 UNC Asheville,2011,UNC Asheville,Big South,16,3.6,3.4,3.49,F,First Round
2015 Manhattan,2015,Manhattan,MAAC,16,3.59,3.41,3.4,F,First Round
2014 Weber St.,2014,Weber St.,Big Sky,16,3.59,3.72,3.32,F,First Round
2010 East Tennessee St.,2010,East Tennessee St.,ASUN,16,3.58,2.67,4.2,F,First Round
2023 UNC Asheville,2023,UNC Asheville,Big South,15,3.56,3.32,3.62,F,First Round
2017 North Dakota,2017,North Dakota,Big Sky,15,3.51,3.46,3.35,F,First Round
2019 Gardner Webb,2019,Gardner Webb,Big South,16,3.5,4.22,2.67,F,First Round
2017 Northern Kentucky,2017,Northern Kentucky,Horizon,15,3.5,3.84,2.94,F,First Round
2014 Milwaukee,2014,Milwaukee,Horizon,15,3.47,3.68,3.07,F,First Round
2009 Morgan St.,2009,Morgan St.,MEAC,15,3.47,2.43,4.35,F,First Round
2008 Austin Peay,2008,Austin Peay,OVC,15,3.45,3.91,2.81,F,First Round
2018 Lipscomb,2018,Lipscomb,ASUN,15,3.42,3.24,3.43,F,First Round
2013 Southern,2013,Southern,SWAC,16,3.41,2.16,4.62,F,First Round
2022 Norfolk St.,2022,Norfolk St.,MEAC,16,3.37,3.09,3.62,F,First Round
2022 Cal St. Fullerton,2022,Cal St. Fullerton,Big West,15,3.36,3.53,3.11,F,First Round
2009 Morehead St.,2009,Morehead St.,SWAC,16,3.33,3,3.67,F,First Round
2017 Jacksonville St.,2017,Jacksonville St.,OVC,15,3.32,3.73,2.86,F,First Round
2018 Cal St. Fullerton,2018,Cal St. Fullerton,Big West,15,3.27,3.17,3.42,F,First Round
2018 Radford,2018,Radford,Big South,16,3.27,3.14,3.44,F,First Round
2022 Wright St.,2022,Wright St.,Horizon,16,3.27,4.06,2.53,F,First Round
2011 Boston University,2011,Boston University,America East,16,3.26,2.99,3.57,F,First Round
2015 North Dakota St.,2015,North Dakota St.,Summit,15,3.23,2.51,4.02,F,First Round
2019 Bradley,2019,Bradley,MVC,15,3.22,2.67,3.82,F,First Round
2022 Bryant,2022,Bryant,NEC,16,3.19,3.52,2.95,F,First Round
2013 Western Kentucky,2013,Western Kentucky,Sun Belt,16,3.19,2.8,3.65,F,First Round
2021 Cleveland St.,2021,Cleveland St.,Horizon,15,3.17,2.62,3.78,F,First Round
2009 Radford,2009,Radford,OVC,16,3.17,3.35,3.01,F,First Round
2018 UMBC,2018,UMBC,America East,16,3.17,3.3,3.18,F,Second Round
2009 Binghamton,2009,Binghamton,America East,15,3.15,3.27,3.08,F,First Round
2010 North Texas,2010,North Texas,Sun Belt,15,3.13,3.6,2.69,F,First Round
2008 Mount St. Mary's,2008,Mount St. Mary's,NEC,16,3.12,2.34,4.04,F,First Round
2022 Texas Southern,2022,Texas Southern,SWAC,16,3.12,2.2,4.19,F,First Round
2016 Florida Gulf Coast,2016,Florida Gulf Coast,ASUN,16,3.11,3.13,3.2,F,First Round
2010 Lehigh,2010,Lehigh,Patriot,16,3.07,4.21,2.04,F,First Round
2010 Robert Morris,2010,Robert Morris,NEC,15,3.07,2.69,3.62,F,First Round
2015 Lafayette,2015,Lafayette,Patriot,16,3.04,5.56,0.85,F,First Round
2015 Robert Morris,2015,Robert Morris,NEC,16,3.03,3.1,3.17,F,First Round
2014 Albany,2014,Albany,America East,16,3.01,2.5,3.81,F,First Round
2014 Wofford,2014,Wofford,Southern,15,3,1.92,4.45,F,First Round
2021 Hartford,2021,Hartford,America East,16,2.98,2.07,4.17,F,First Round
2013 LIU,2013,LIU,NEC,16,2.98,5.58,0.63,F,First Round
2017 South Dakota St.,2017,South Dakota St.,Summit,16,2.98,4.78,1.52,F,First Round
2014 Cal Poly,2014,Cal Poly,Big West,16,2.97,1.99,4.32,F,First Round
