Rice,101.39579721337,107.6941356009,0.33335934719403,5–10,5,15,48.9,52.4,29.6,27.3,18.3,15.6,28.8,27.9,70.3,51.7,51,29.8,36.5,9.2,10.1,53.5,53.1,39.8,37.6,68.2,,,,2024,,,,-5.9786960642537,71.9,73.1
"Abilene Christian",101.03823401515,105.25203556477,0.38464551086235,5–10,5,15,46.4,52,41.4,43.1,17.5,21.6,23.8,32.7,72.3,45.3,52.9,32.8,33.5,4,9,49.6,46.5,26.7,32.4,70.7,,,,2024,,,,-6.6440818238666,73.1,72.7
Rider,98.553622753137,109.33948335765,0.2324813252039,4–12,4,16,44.4,52,29.8,40.6,18.4,14.8,33.3,27.7,69.7,44,52.7,30.1,33.9,9.7,7.9,47.5,52.1,29.1,41.7,69.3,,,,2024,,,,-7.8256281422932,71.2,68.6
"Boston College",113.39890429778,103.47453921974,0.74139670925142,11–6,11,17,52.9,50.6,27.2,27.8,13.9,17.4,26.9,26.9,69.5,51.9,48.7,36.4,36,10.9,8.8,49.3,48.6,35.8,37.1,69.6,,,,2024,,,,-1.3952504241113,75.2,76.5
Arizona,119.41887166868,89.509428966353,0.96495243328417,12–4,12,16,55.5,48.7,33.2,24.9,16.3,18.9,37.6,20.1,75.8,54.9,47.8,37.8,33.3,9.2,7.1,58.4,53.2,30.8,39.1,75.3,,,,2024,,,,2.8561494411113,72.7,69.2
"Penn St.",106.9830933632,100.28393569314,0.67779369315076,8–9,8,17,49.4,51.3,35.8,33.7,15.7,22.9,27.7,33.3,71.3,52.5,52.5,29.9,32.6,7.6,8.2,45.3,57,41,34.4,72.4,,,,2024,,,,-4.1141095686025,73.9,74.5
Hawaii,100.64102531939,99.407893578375,0.53538506463029,8–7,8,15,50.7,47.3,37.5,32,18.8,17,26.6,25.5,67.6,52.7,47,32,32.2,7.4,9.1,49.7,34.5,43.5,24.9,66.7,,,,2024,,,,-4.5719199977978,71,72.1
"San Diego",99.741486706507,104.83356400071,0.3606345128289,8–9,8,17,49.9,50.6,30,36.3,20.3,17.2,28.6,29.9,72.5,47.7,52.1,36.1,32.2,9.7,9.5,49.8,58.3,32.7,38.7,72.6,,,,2024,,,,-5.1046470850061,72,68.6
"UC Davis",102.48461732046,100.41070350285,0.5585069724956,8–7,8,15,52.4,49.3,39.9,41.7,20,21.9,30.5,29.6,68.5,51.8,50.2,35.6,31.6,10.2,8,52,48.4,38.1,32.8,69,,,,2024,,,,-4.5158181486776,70.3,73.7
LSU,105.67598700594,98.196419532752,0.69934720170612,10–6,10,16,52.2,47.4,38.6,31,18.9,21.1,30.6,30.6,70.8,53.7,45.1,33.1,33.6,12.6,10.3,45.3,50.3,36.9,43.9,72.1,,,,2024,,,,-1.3907045244696,71.7,74.1
"Fresno St.",100.21045609761,105.91638879822,0.34596102545755,6–9,6,15,52.5,51,31.9,26.9,20.8,15.6,27.5,28.9,67.4,53.7,49.7,33.5,35.6,6.5,9.7,47.9,44.7,34.7,35.4,67.3,,,,2024,,,,-5.4454919948459,62.5,66.7
UMKC,100.63938107053,109.35295685791,0.27789501131428,4–12,4,16,47.6,52.9,27.8,43.6,19,15.6,34.8,25.4,67.3,47.5,52.9,31.8,35.4,10.9,8.2,52.1,49.5,41.9,35.6,68.1,,,,2024,,,,-8.3344983241077,68.9,70.9
Baylor,120.62301036774,99.497515547962,0.90151567154293,13–2,13,15,58.5,48.6,37.5,30.6,16.4,18.2,35.5,28,69,54.4,50.7,43.7,29.6,9.7,9.4,51.9,49.3,36.5,33.3,68.7,,,,2024,,,,2.7943972422332,74.1,73.1
"Oral Roberts",105.90832403074,110.51051813119,0.38008822209619,5–9,5,14,51.4,50.5,28.1,30.6,13.7,15.2,19.6,33.1,69.2,48.3,49.3,37.8,35,11.8,8.3,39.7,53.6,37.7,39,69.9,,,,2024,,,,-5.1454782899888,74,71.7
Ohio,108.42015423666,110.20295866746,0.4532464579218,6–9,6,15,50.9,50.6,34.3,39.6,14.1,18.6,29.8,32.8,69.2,51.4,50.4,33.3,34,10.6,9.2,47.1,43.8,37.5,37.5,68.8,,,,2024,,,,-7.2082211559669,70.2,70.3
Winthrop,105.768768696,104.04220147257,0.54717795395474,10–6,10,16,50.6,47.8,53,30.6,19.2,17.6,32,33.8,67.7,50.1,50.8,34.3,29,7.1,15.2,44.5,51,39.5,40.6,67.8,,,,2024,,,,-2.1566868752595,70.1,75.9
"Northern Illinois",105.17527831558,109.89554258832,0.37639611047799,4–10,4,14,51.1,52.9,39.2,32.6,17.7,12.8,24.2,32.3,71.7,49.8,52.8,35.3,35.4,11.1,5.3,40.7,50,39.3,32.7,71.2,,,,2024,,,,-6.0256834170538,68,69.6
"Georgia Tech",106.89649180405,102.19067296366,0.62661839595413,8–8,8,16,48.7,48.2,31.1,32.8,18,13.6,34.3,28.7,69.6,50.2,48.7,30.9,31.6,11.9,9.1,52.4,44.7,39,39.1,69.1,,,,2024,,,,-2.7215712003397,65.8,70.6
"Kent St.",105.0523837662,104.53358883442,0.51422934660591,6–8,6,14,50.4,53.2,35.5,34.9,18.5,19.4,30.9,29.7,69.7,47.9,53.1,36.3,35.5,7.5,8,51,54.7,37.3,40.9,69.4,,,,2024,,,,-5.1314367843851,76.4,70
Marquette,114.56760822349,92.998920261843,0.91672339679081,12–5,12,17,52.8,50.1,27.3,27.1,14.4,23.3,27.2,28.8,70.3,56.7,49.8,31.6,33.6,8.1,8,56.4,56.2,42.6,43.9,71.3,,,,2024,,,,1.5592847757302,73.8,71.3
"Weber St.",108.86053747559,104.5245260453,0.61477463943237,8–6,8,14,52.4,53.2,34.1,24.3,14.8,18.1,24.9,23.4,64.3,51.3,54.3,36.1,34.2,3.6,10.3,46.8,49.6,38,36.9,65.1,,,,2024,,,,-2.9906243882998,74.3,66.1
Maine,97.308361629268,103.17615961018,0.33774527704746,7–9,7,16,49.4,50.3,26.9,33.8,16.2,19.4,19.9,28.3,67,52,50.8,29.7,32.9,6.9,9.4,50.5,51,33.8,33.7,67.2,,,,2024,,,,-6.1303824253579,73.6,66.9
"Sam Houston St.",102.01560134451,104.094861817,0.44225039631611,8–8,8,16,45.9,52,37.1,36.6,18.2,19.8,29.5,27.7,70.1,44.4,53.6,32.4,33,7.1,11.5,51,56.9,35.1,39.1,70.4,,,,2024,,,,-4.0127229279827,71.9,68.7
"Incarnate Word",98.707216670766,114.10406701322,0.15883022411936,3–11,3,14,47.5,51.6,38.8,39.2,21,16.3,27.3,34,71.9,47.3,52.2,31.8,33.7,10.3,13.2,49.5,54.9,42.2,36.1,71,,,,2024,,,,-8.876876610566,75.1,73.5
