team_year,experience,height_eff,size,bench,adj_tempo,tempo_kenpom,adj_tempo_kenpom,point_dist_ft_off,point_dist_2p_off,point_dist_3p_off,point_dist_ft_def,point_dist_2p_def,point_dist_3p_def,pos_point_dist_1,pos_point_dist_2,pos_point_dist_3,pos_point_dist_4,pos_point_dist_5,pos_reb_dist_1_off,pos_reb_dist_2_off,pos_reb_dist_3_off,pos_reb_dist_4_off,pos_reb_dist_5_off,pos_reb_dist_1_def,pos_reb_dist_2_def,pos_reb_dist_3_def,pos_reb_dist_4_def,pos_reb_dist_5_def
2012 NC St.,1.95,0.79,77.72,20.74,67.9,68.5876,66.3856,20.2076,57.7679,22.0245,19.4722,52.2191,28.3087,15.65,19.31,20.2,24.29,20.55,9.01,14.1,5.93,36.86,34.11,14.1,15.35,11.42,31.4,27.73
2014 Nebraska,1.37,0.54,77.13,29.42,65.3,65.3012,64.698,23.912,49.6958,26.3921,24.3165,48.9209,26.7626,16.36,13.98,29.47,18.56,21.62,7.93,8.84,17.98,25.43,39.82,13.91,13.11,21.98,21.94,29.05
2017 Nebraska,1.32,0.8,77.66,32.05,69.4,69.4049,67.9612,18.73212583,56.81601525,24.45185891,18.28391734,49.77538185,31.94070081,22.48,25.69,18.19,17.17,16.43,7.21,10.22,26.81,13.77,41.94,13.92,19.24,23.5,17.33,25.97
2017 Nevada,1.64,-0.48,77.5,18.02,70.9,70.915,69.6483,21.70487106,43.91117479,34.38395415,16.82692308,54.80769231,28.36538462,24.17,12.07,19.35,20.65,23.76,4.59,14.05,17.73,40.27,23.35,10.45,16.9,16,24.76,31.87
2018 Nevada,2.16,-0.86,78.3,25.03,70.8,70.7918,69.4886,19.73813421,45.49918167,34.76268412,17.75804661,51.72031077,30.52164262,12.49,23.96,21.07,25.86,16.61,10.43,35.63,22.7,11.33,19.91,16.59,27.36,20.99,17.26,17.77
2019 Nevada,2.71,0.81,78.18,19.73,70.9,70.9379,69.2146,21.22658832,46.05214837,32.72126331,16.51982379,48.63436123,34.75770925,16.48,18.03,24.67,23.29,17.53,4.65,15.47,28.7,19.13,32.06,8.28,17.24,27.62,20.57,26.29
2023 Nevada,1.72,0.84,78.65,22.8,66.2,66.2038,66.0568,23.67475292,47.61904762,28.70619946,19.07957814,46.97986577,33.94055609,24.93,22.39,14.7,10.95,26.97,6.68,10.42,25.61,19.53,37.69,13.69,16.6,28.83,14.37,26.45
2010 New Mexico,1.51,0.37,76.92,27.97,67.8,68.2724,67.1887,22.9002,46.2524,30.8475,19.1752,48.2993,32.5255,21.94,17.58,21.47,24.49,14.52,6.78,12.16,21.92,23.19,35.95,13.81,12.19,19.14,33.98,20.88
2012 New Mexico,1.67,1.9,77.1,34.71,66.4,67.1573,65.0743,20.7501,47.6967,31.5532,19.4008,50.0982,30.501,22.1,19.08,21.7,16.32,20.79,7.37,9.52,15.62,24.98,42.51,16.8,17.35,14.01,17.32,34.52
2013 New Mexico,1.76,3.06,77.79,26.98,64.7,64.7537,63.1277,25.3928,46.4544,28.1529,15.8812,46.9369,37.1819,15.81,18.94,18.79,21.8,24.66,10.33,12.06,11.73,23.53,42.35,16.03,17.91,17.14,18.24,30.68
2014 New Mexico,1.98,4.71,78.34,24.41,65.7,65.6502,64.7417,24.841,51.6693,23.4897,20.1512,47.4199,32.4288,11.6,20.91,18.59,27.27,21.63,19.01,9.3,14.48,26.75,30.47,17.76,12.89,17.13,22.99,29.23
2010 New Mexico St.,1.77,-0.48,76.91,22.96,72.3,72.1945,70.1148,19.9302,47.3827,32.6871,17.7319,52.4552,29.8129,12.61,22.64,22.72,19.97,22.06,7.29,8.44,9.66,25.56,49.05,13.51,13.2,16.2,26.6,30.49
2012 New Mexico St.,2.03,1.05,77.41,24.11,70.7,71.3124,69.1013,25.3053,56.9466,17.7481,18.4007,55.804,25.7954,17.84,18.19,18.53,24,21.44,5.9,13.91,22.29,25.08,32.82,11.99,15.02,22.28,26.6,24.11
2013 New Mexico St.,1.54,7.54,78.33,30.97,65.3,65.2589,63.1987,23.8636,58.5664,17.5699,19.3639,53.9757,26.6604,15.7,23.15,19.09,19.73,22.32,5.72,17.02,18.51,23.91,34.83,13.78,15.6,19.48,24.37,26.77
2014 New Mexico St.,1.92,7.65,77.73,31.55,66.9,66.9142,65.3613,25.757,54.0561,20.1869,21.9595,57.7703,20.2703,14.27,24.18,22.33,18.76,20.46,5.12,17.97,10.43,30.52,35.96,10.53,17.94,15.34,25.59,30.6
2015 New Mexico St.,1.62,2.99,77.5,31.44,62.8,62.7648,62.9742,23.6246,55.571,20.8044,19.616,61.5464,18.8376,17.04,21.38,19.57,24.36,17.64,3.28,15.97,18.5,30.36,31.89,14.74,16.1,20.27,24.59,24.31
2017 New Mexico St.,1.78,-0.08,76.63,33.14,69.5,69.516,67.51,22.5375626,48.66444073,28.79799666,20.06563526,55.32114393,24.61322082,23.54,23.79,18.97,20.74,12.91,4.17,6.78,26.77,41.18,21.01,16.33,12.71,24.59,29.21,17.08
2018 New Mexico St.,2.03,-0.92,75.44,34.6,69.8,69.8333,68.2276,15.32534247,54.10958904,30.56506849,20.58386937,49.87629886,29.53983177,14.66,16.27,30.04,21.45,17.51,4.86,9.9,13.9,40.19,31.05,9.8,12.31,19.42,40.07,18.31
2019 New Mexico St.,2.03,-0.61,75.49,49.5,67.6,67.9012,65.5861,17.75956284,46.29195941,35.94847775,19.09851301,48.14126394,32.76022305,14.76,21.07,20.08,21.64,22.42,4.86,9.51,19.61,32.57,33.4,10.82,15.89,18.62,29.13,25.51
2022 New Mexico St.,2.03,0.43,78.06,31.01,67.9,67.8721,66.1724,18.87824897,48.97400821,32.14774282,19.09497762,47.041273,33.86374938,16.96,18.57,28.58,18.31,17.54,12.15,14.38,15.95,30.06,27.42,17.38,18.65,25.18,18.42,20.34
2017 New Orleans,2.58,0.1,75.94,28,68.6,68.5799,66.1458,23.15583781,59.40400586,17.44015633,19.19443063,52.61064147,28.1949279,20.41,19.84,26.85,18.81,14.05,6.94,14.83,24.98,28.43,24.78,10.56,14.45,23.95,26.03,24.96
2012 Norfolk St.,2.36,0.52,77.88,32.96,68.5,69.1819,66.0683,22.0576,54.4454,23.497,21.3108,52.2569,26.4323,13.56,19.1,20.4,19.75,27.18,18.28,15.79,14.29,15.57,36.06,16.66,13.59,16.16,17.69,35.9
2021 Norfolk St.,2.38,-0.59,76.57,40.63,72.1,72.0453,67.6936,21.22110255,46.59158269,32.18731476,23.20881813,41.51867728,35.27250459,22.08,26.53,18,17.06,16.29,8.35,12.64,17.35,19.91,41.69,17.78,22.31,20.97,17.29,21.61
2022 Norfolk St.,2.45,-0.7,76.64,31.75,70.6,70.4806,66.9322,20.77342588,50.66931086,28.55726326,19.07824223,45.55198285,35.36977492,27.2,22.66,15.15,16.16,18.82,10.11,12.91,19.51,17.92,39.55,19.92,14.12,19.52,24.17,22.27
2008 North Carolina,1.58,0.91,77.31,30.38,76.1,76.0195,71.9191,21.3665,59.8726,18.7609,15.1344,55.3748,29.4908,16.15,22.2,16.48,19.35,25.82,4.34,11.57,21.39,27.71,34.98,13.23,16.79,17.64,22.82,29.52
2009 North Carolina,2.05,1.84,77.22,27.39,75.7,75.9017,72.454,22.1346,54.7605,23.1049,15.8724,54.1839,29.9437,19.49,15.68,20.75,21.3,22.78,6.35,13.56,21.05,25.09,33.96,12.91,15.06,17.05,23.64,31.34
2011 North Carolina,1.07,4.73,78.68,31.23,72.1,72.3548,70.5943,20.5718,59.5537,19.8745,15.0098,53.5167,31.4735,12.46,15.45,23.8,21.41,26.88,5.44,10.91,19.98,29.11,34.57,12.67,13.27,18.8,27.68,27.58
2012 North Carolina,1.39,4.82,79.2,27.26,72.8,73.5882,70.0151,20.3494,60.8217,18.8289,14.1232,53.5112,32.3656,12.05,15.68,23.45,22.14,26.68,2.65,15.25,19.82,25.33,36.96,9.77,15.04,17.22,27,30.98
2013 North Carolina,1.23,1.41,77.58,29.2,71.5,71.533,68.7962,16.2009,54.4562,29.3429,16.5566,54.3353,29.1082,14.46,20.6,23.6,21.42,19.91,3.83,16.36,24.31,26.6,28.91,13.54,14.14,19.19,25.45,27.69
2014 North Carolina,1.19,2.62,77.46,31.08,70,69.9584,69.426,21.1982,61.9816,16.8203,22.8078,50.5059,26.6863,18.6,21.26,15.05,25.17,19.92,3.91,10.12,16.11,34.9,34.95,10.93,14.96,16.66,29.2,28.26
2015 North Carolina,1.31,2.06,77.83,32.08,69.5,69.4319,69.0232,19.3363,61.9709,18.6929,22.5917,49.0826,28.3257,19.37,17.25,17.8,23.88,21.7,4.26,12.54,21.99,29,32.2,11.12,17.65,17.64,23.88,29.72
2016 North Carolina,1.85,3.42,77.77,33.87,70.7,70.7158,71.0747,18.6349,61.0692,20.296,18.0422,48.9461,33.0118,19.06,16.74,16.27,23.78,24.16,6.9,6.02,21.07,31.42,34.59,13.3,11.27,15.6,25.04,34.79
2017 North Carolina,1.91,1.56,77.94,36.58,72.1,72.1311,70.6955,18.91231286,55.78979529,25.29789184,19.25443359,47.19507781,33.5504886,19.97,11.42,22.66,22.47,23.48,3.95,10.21,14.23,25.46,46.15,12.99,15.72,16.88,22.7,31.72
2018 North Carolina,2,0.65,77.46,27.31,71.4,71.3754,70.9501,16.66666667,53.01524188,30.31809145,15.12357064,45.37071191,39.50571745,23.12,17.03,15.49,24.48,19.88,7.83,10.59,18.38,29.86,33.33,13.43,12.66,23.01,29.48,21.41
2019 North Carolina,1.78,0.94,78.5,26.31,76.1,76.1162,74.2921,17.5137585,52.1851732,30.30106831,16.46433991,45.90288316,37.5569044,12.58,21.74,22,24.24,19.39,10.6,7.43,26,25.28,30.63,12.05,14.53,25.72,26.71,20.93
