game_id,id,year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,high_bracket_score,low_bracket_score,point_diff,point_total,win,ovr_rating_bpi,ovr_rating_kenpom,ovr_rating_torvik,wab,off_rating_bpi,off_rating_kenpom,off_rating_torvik,def_rating_bpi,def_rating_kenpom,def_rating_torvik,efg%_off,ftr_off,reb%_off,to%_off,efg%_def,ftr_def,reb%_def,to%_def,2p%_off,3p%_off,eff_off,ft%_off,2p%_def,3p%_def,eff_def,ft%_def,height_eff,size,bench,adj_tempo,s_s,s_a,s_b,s_c,s_d,s_f,a_s,a_a,a_b,a_c,a_d,a_f,b_s,b_a,b_b,b_c,b_d,b_f,c_s,c_a,c_b,c_c,c_d,c_f,d_s,d_a,d_b,d_c,d_d,d_f,f_s,f_a,f_b,f_c,f_d,f_f
20093314,3314,2009,East,Sweet 16,3,2009 Villanova,2,2009 Duke,77,54,23,131,1,-2.5,-3.6203,-0.029607473,-1.856762172,3.5,5.57778885,1.975795359,-6,-9.090936619,-6.80314035,4.1,11.8,2.4,-4.4,-3.5,-3.2,-7,4.5,3.7,2.7,15.6268,5.2,-5.2,-1,-15.9782,-4.2,-2.01,-0.54,-2.84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20093413,3413,2009,South,Sweet 16,1,2009 North Carolina,4,2009 Gonzaga,98,77,21,175,1,6.1,2.604,0.007289,3.219244471,17.7,12.644406,9.273467383,-11.6,-10.577617,-7.223874014,9.9,10,10,-5,-7.9,-9.5,0.5,4.2,12.9,3.6,27.6056,6.6,-8.2,-4.9,-18.6854,-1.4,-3.12,-1.23,0.41,7.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20094415,4415,2009,South,Elite Eight,1,2009 North Carolina,2,2009 Oklahoma,72,60,12,132,1,7,5.2692,0.026992286,0.297425338,16.6,16.98176774,15.41187788,-9.6,-11.643617,-10.22302701,6.9,9.4,8.9,-1.1,-7.8,-21.7,-4.7,0.9,8.6,3.2,20.0694,8.5,-11.1,-0.8,-17.5204,1.3,-0.26,-0.44,7.42,6.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20093414,3414,2009,South,Sweet 16,3,2009 Syracuse,2,2009 Oklahoma,71,84,-13,155,0,-0.7,-1.5952,-0.009242339,-1.500146958,9.7,11.29976774,9.308292879,-10.4,-12.96294287,-10.70749316,8.6,10.3,4.5,2.3,-8.2,-20.7,-0.7,-0.4,12.2,1.3,11.9914,-4.1,-7.4,-6.3,-15.1559,-4.4,-1.41,-0.6,3.71,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20103113,3113,2010,Midwest,Sweet 16,9,2010 Northern Iowa,5,2010 Michigan St.,52,59,-7,111,0,-1.9,-2.0327,-0.014905156,0.380169078,-8.6,-0.701871521,-1.583896029,6.6,-0.864516636,0.11839199,3.2,6.5,2.3,-1.7,-5.3,-7.7,-14.6,-0.4,2.4,2.8,11.482,3.9,-7.8,-0.1,-16.9663,0.9,1.36,0.1,2.02,-7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20103113,3113,2010,Midwest,Sweet 16,6,2010 Tennessee,2,2010 Ohio St.,76,73,3,149,1,-2.7,-8.0785,-0.057491826,-1.733067491,-0.9,-2.141178511,-2.552195242,-1.8,-5.335828156,-4.561384463,2.8,9.2,4,-3,-11.5,5.2,2.4,6.4,6.7,-3,9.0159,-3.7,-10,-9.5,-21.8371,0.7,3.05,0.22,22.64,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20103213,3213,2010,West,Sweet 16,1,2010 Syracuse,5,2010 Butler,59,63,-4,122,0,6.3,7.5591,0.058088883,2.889129634,4,7.932133594,6.332939487,2.4,-0.343281266,2.16985958,11,1.6,10.1,0,-5.9,-22.4,3.8,3.5,10.9,7.6,21.4933,-2,-6.6,-3.2,-14.505,-11,3.71,2.1,3.18,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20103214,3214,2010,West,Sweet 16,6,2010 Xavier,2,2010 Kansas St.,96,101,-5,197,0,-1.1,-5.1111,-0.048245881,-3.850557097,8.6,4.257719561,3.275325575,-9.7,-10.09942284,-9.83705094,5.6,-4.9,1.8,-5.3,-4.9,-18.9,-11.6,-2,5.4,4.1,15.1214,2,-2.8,-6.3,-13.8806,-0.9,1.73,0.43,-0.27,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20104215,4215,2010,West,Elite Eight,5,2010 Butler,2,2010 Kansas St.,63,56,7,119,1,-2,-4.9072,-0.050904514,-2.091412842,-0.2,0.233719561,-1.867514625,-1.9,-5.190133594,-5.135121087,5.1,0.4,-2,-4.4,-4.3,-16.3,-13.9,0.9,6.9,1.1,13.2194,5.5,-2.9,-4.8,-16.7383,2.6,-2.55,-0.47,-6.02,-7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20103313,3313,2010,East,Sweet 16,1,2010 Kentucky,12,2010 Cornell,62,45,17,107,1,6.7,11.3577,0.141770183,6.659411493,8.1,16.23990484,14.85128555,-1.4,-3.679063317,-1.724028866,5.4,4.6,11.1,-0.4,-12.9,-1.2,0,1.4,8.6,-1.2,13.8631,-4,-8.9,-12,-21.887,-3.1,-0.2,1.6,-1.65,4.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
