year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,win,ovr_rating_bpi,ovr_rating_kenpom,off_rating_torvik,def_rating_bpi,def_rating_kenpom,reb%_off,ftr_off,to%_off,reb%_def,3p%_off,eff_off,ft%_def,eff_def,s_f,a_f
2010,Midwest,First Round,8,2010 UNLV,9,2010 Northern Iowa,0,0.5,-1.0217,-2.47034239,7.6,-0.055829173,2.7,2.7,-3.3,-0.3,-0.1,15.7973,-5.2,-12.9189,0,0
2010,Midwest,First Round,5,2010 Michigan St.,12,2010 New Mexico St.,1,10.8,14.17578,16.55568109,-2,-2.611128479,6.4,5,2.4,-1.3,-2.4,0.356,1.4,-13.476,0,0
2010,Midwest,First Round,4,2010 Maryland,13,2010 Houston,1,9.9,13.40014,17.45446421,-6.6,-6.46170245,-3,-5.8,-6.7,6.3,5.1,7.705,-1,-13.007,0,0
2010,Midwest,First Round,6,2010 Tennessee,11,2010 San Diego St.,1,6.4,0.0753,0.945361357,4.4,0.603171844,0.7,4.5,-2,-8.4,-4.5,7.2239,8.2,-15.9901,0,0
2010,Midwest,First Round,3,2010 Georgetown,14,2010 Ohio,0,10.3,16.92901,13.25759951,0.3,2.571114478,-1.1,1.2,-0.6,1.1,8.4,12.6208,-1.7,-6.3696,0,0
2010,Midwest,First Round,7,2010 Oklahoma St.,10,2010 Georgia Tech,0,-2.3,-1.5024,1.859364567,-2.5,-3.693605124,-4.8,2,-2.9,-10.7,4,13.7358,4.6,-3.6083,0,0
2010,Midwest,First Round,2,2010 Ohio St.,15,2010 UC Santa Barbara,1,15.3,23.09382,12.6738249,9.2,8.707178511,-3.3,-3.8,-5,1,8.3,16.2624,2.4,-5.6343,1,0
2010,West,First Round,1,2010 Syracuse,16,2010 Vermont,1,16.6,24.46446,16.02375085,4.5,6.704718734,3.9,2.4,1,-1.2,7,19.4555,-5.1,-10.601,1,0
2010,West,First Round,8,2010 Gonzaga,9,2010 Florida St.,1,-4.1,-1.8116,-5.143067765,-1.2,-0.322074436,-0.2,15.4,-5.1,-10,3.7,22.0068,0.6,-3.4547,0,0
2010,West,First Round,5,2010 Butler,12,2010 UTEP,1,2,2.4502,-2.559538367,3.1,2.730866406,0.9,4.8,-3.3,-2.1,3.5,18.3709,1.9,-13.8303,0,0
2010,West,First Round,4,2010 Vanderbilt,13,2010 Murray St.,0,1.8,2.9397,7.622330099,-1.2,-4.876182849,-0.6,14,-5,-4.1,3,19.0492,-6.8,-13.3468,0,0
2010,West,First Round,6,2010 Xavier,11,2010 Minnesota,1,0.6,1.0775,6.840196224,-5,-7.221422842,3,9.5,-3.3,-4,3.2,14.376,-4.6,-13.0096,0,0
2010,West,First Round,3,2010 Pittsburgh,14,2010 Oakland,1,8.9,15.05706,12.80349457,3.1,0.436305447,6.1,11.1,1.2,-5.6,0.4,4.54,-5.9,-10.4274,0,0
2010,West,First Round,7,2010 BYU,10,2010 Florida,1,3.6,9.4903,12.63190671,-4.1,-4.710248201,-2,11.3,-4.7,-9.7,9.5,17.2766,-2.7,-15.6885,0,0
2010,West,First Round,2,2010 Kansas St.,15,2010 North Texas,1,15.4,25.295511,18.49645354,1.2,7.572280439,11.1,19.4,1.9,1,3,9.456,-2.5,-9.4214,0,1
2010,East,First Round,1,2010 Kentucky,16,2010 East Tennessee St.,1,17.3,22.50199,10.90545617,6.6,11.46393668,7,4.2,-3.7,-3.1,1.5,15.6601,3.9,-8.253,0,1
2010,East,First Round,8,2010 Texas,9,2010 Wake Forest,0,4.7,5.7369,3.529158595,-4.5,1.055036456,5.7,1.8,-0.9,-6.9,5.6,14.1505,2.6,-7.0335,0,0
2010,East,First Round,5,2010 Temple,12,2010 Cornell,0,1.5,7.4746,7.024896846,6.2,0.459118343,2.8,-11.2,-4.1,-4.4,-1.5,6.0461,-3.7,-24.6981,0,0
2010,East,First Round,4,2010 Wisconsin,13,2010 Wofford,1,10.2,16.13887,9.271431427,13.8,7.04843678,1.1,-3.5,-6.9,-7.7,5.2,17.7505,1.8,-11.5694,0,0
2010,East,First Round,6,2010 Marquette,11,2010 Washington,0,1.2,2.584,6.700392732,-4.6,-5.247930285,-0.2,-11.3,-6.2,-4.3,9.4,15.774,-4.6,-9.8821,0,0
2010,East,First Round,3,2010 New Mexico,14,2010 Montana,1,4.8,8.87737,14.17438234,3.6,-3.355090884,6.1,7,-3.4,-3.2,1,14.2248,-4.5,-10.8962,0,0
2010,East,First Round,7,2010 Clemson,10,2010 Missouri,0,-0.3,-0.0457,-1.349966937,-2.8,0.628264605,-1.7,-3.4,-6.1,-1.2,2.8,12.8431,-5.1,-15.4407,0,0
2010,East,First Round,2,2010 West Virginia,15,2010 Morgan St.,1,14.3,23.82538,20.31021414,3.2,3.517358,7.8,-4.7,-2.2,-8.9,0.9,13.2306,-1.3,-10.2231,1,0
2010,South,First Round,1,2010 Duke,16,2010 Arkansas Pine Bluff,1,25.8,39.46366,17.48385832,14.5,22.1422998,13.8,-17.4,-4.2,-3.3,5.1,20.5433,2.3,-2.0491,1,0
2010,South,First Round,8,2010 California,9,2010 Louisville,1,-0.7,4.3982,16.53712439,-8.6,-12.69592758,-2,-5.7,-4.8,-9,3,13.452,-0.6,-10.8116,0,0
2010,South,First Round,5,2010 Texas A&M,12,2010 Utah St.,1,-1.6,-1.1406,5.85016171,2.7,-7.599972991,6.9,20.1,0.8,-3.3,1.5,11.4766,-6,-19.8718,0,0
