team_year,year,team,region,seed,finish,weekend,conference,logo
2012 Connecticut,2012,Connecticut,South,9,First Round,1,Big East,
2014 Connecticut,2014,Connecticut,East,7,Champion,3,AAC,
2016 Connecticut,2016,Connecticut,South,9,Second Round,1,AAC,
2021 Connecticut,2021,Connecticut,East,7,First Round,1,Big East,
2022 Connecticut,2022,Connecticut,West,5,First Round,1,Big East,
2023 Connecticut,2023,Connecticut,West,4,Champion,3,Big East,
2008 Coppin St.,2008,Coppin St.,East,16,First Round,1,MEAC,
2008 Cornell,2008,Cornell,South,14,First Round,1,Ivy,
2009 Cornell,2009,Cornell,West,14,First Round,1,Ivy,
2010 Cornell,2010,Cornell,East,12,Sweet 16,2,Ivy,
2012 Creighton,2012,Creighton,Midwest,8,Second Round,1,MVC,
2013 Creighton,2013,Creighton,Midwest,7,Second Round,1,MVC,
2014 Creighton,2014,Creighton,West,3,Second Round,1,Big East,
2017 Creighton,2017,Creighton,Midwest,6,First Round,1,Big East,
2018 Creighton,2018,Creighton,South,8,First Round,1,Big East,
2021 Creighton,2021,Creighton,West,5,Sweet 16,2,Big East,
2022 Creighton,2022,Creighton,Midwest,9,Second Round,1,Big East,
2023 Creighton,2023,Creighton,South,6,Elite Eight,2,Big East,
2008 Davidson,2008,Davidson,Midwest,10,Elite Eight,2,Southern,
2012 Davidson,2012,Davidson,West,13,First Round,1,Southern,
2013 Davidson,2013,Davidson,East,14,First Round,1,Southern,
2015 Davidson,2015,Davidson,South,10,First Round,1,A10,
2018 Davidson,2018,Davidson,South,12,First Round,1,A10,
2022 Davidson,2022,Davidson,West,10,First Round,1,A10,
2009 Dayton,2009,Dayton,Midwest,11,Second Round,1,A10,
2014 Dayton,2014,Dayton,South,11,Elite Eight,2,A10,
2015 Dayton,2015,Dayton,East,11,Second Round,1,A10,
2016 Dayton,2016,Dayton,Midwest,7,First Round,1,A10,
2017 Dayton,2017,Dayton,South,7,First Round,1,A10,
2014 Delaware,2014,Delaware,East,13,First Round,1,CAA,
2022 Delaware,2022,Delaware,South,15,First Round,1,CAA,
2012 Detroit Mercy,2012,Detroit Mercy,Midwest,15,First Round,1,Horizon,
2008 Drake,2008,Drake,West,5,First Round,1,MVC,
2021 Drake,2021,Drake,West,11,First Round,1,MVC,
2023 Drake,2023,Drake,Midwest,12,First Round,1,MVC,
2021 Drexel,2021,Drexel,Midwest,16,First Round,1,CAA,
2008 Duke,2008,Duke,West,2,Second Round,1,ACC,
2009 Duke,2009,Duke,East,2,Sweet 16,2,ACC,
2010 Duke,2010,Duke,South,1,Champion,3,ACC,
2011 Duke,2011,Duke,West,1,Sweet 16,2,ACC,
2012 Duke,2012,Duke,South,2,First Round,1,ACC,
2013 Duke,2013,Duke,Midwest,2,Elite Eight,2,ACC,
2014 Duke,2014,Duke,Midwest,3,First Round,1,ACC,
2015 Duke,2015,Duke,South,1,Champion,3,ACC,
2016 Duke,2016,Duke,West,4,Sweet 16,2,ACC,
2017 Duke,2017,Duke,East,2,Second Round,1,ACC,
2018 Duke,2018,Duke,Midwest,2,Elite Eight,2,ACC,
2019 Duke,2019,Duke,East,1,Elite Eight,2,ACC,
2022 Duke,2022,Duke,West,2,Final Four,3,ACC,
2023 Duke,2023,Duke,East,5,Second Round,1,ACC,
2009 East Tennessee St.,2009,East Tennessee St.,East,16,First Round,1,ASUN,
2010 East Tennessee St.,2010,East Tennessee St.,East,16,First Round,1,ASUN,
2017 East Tennessee St.,2017,East Tennessee St.,East,13,First Round,1,Southern,
2014 Eastern Kentucky,2014,Eastern Kentucky,South,15,First Round,1,OVC,
2015 Eastern Washington,2015,Eastern Washington,South,13,First Round,1,Big Sky,
2021 Eastern Washington,2021,Eastern Washington,West,14,First Round,1,Big Sky,
2016 Fairleigh Dickinson,2016,Fairleigh Dickinson,East,16,First Round,1,NEC,
2019 Fairleigh Dickinson,2019,Fairleigh Dickinson,West,16,First Round,1,NEC,
2023 Fairleigh Dickinson,2023,Fairleigh Dickinson,East,16,Second Round,1,NEC,
2010 Florida,2010,Florida,West,10,First Round,1,SEC,
2011 Florida,2011,Florida,Southeast,2,Elite Eight,2,SEC,
2012 Florida,2012,Florida,West,7,Elite Eight,2,SEC,
2013 Florida,2013,Florida,South,3,Elite Eight,2,SEC,
2014 Florida,2014,Florida,South,1,Final Four,3,SEC,
2017 Florida,2017,Florida,East,4,Elite Eight,2,SEC,
2018 Florida,2018,Florida,East,6,Second Round,1,SEC,
2019 Florida,2019,Florida,West,10,Second Round,1,SEC,
2021 Florida,2021,Florida,South,7,Second Round,1,SEC,
2023 Florida Atlantic,2023,Florida Atlantic,East,9,Final Four,3,CUSA,
2013 Florida Gulf Coast,2013,Florida Gulf Coast,South,15,Sweet 16,2,ASUN,
2016 Florida Gulf Coast,2016,Florida Gulf Coast,East,16,First Round,1,ASUN,
2017 Florida Gulf Coast,2017,Florida Gulf Coast,West,14,First Round,1,ASUN,
2009 Florida St.,2009,Florida St.,East,5,First Round,1,ACC,
2010 Florida St.,2010,Florida St.,West,9,First Round,1,ACC,
2011 Florida St.,2011,Florida St.,Southwest,10,Sweet 16,2,ACC,
2012 Florida St.,2012,Florida St.,East,3,Second Round,1,ACC,
2017 Florida St.,2017,Florida St.,West,3,Second Round,1,ACC,
2018 Florida St.,2018,Florida St.,West,9,Second Round,1,ACC,
2019 Florida St.,2019,Florida St.,West,4,Sweet 16,2,ACC,
2021 Florida St.,2021,Florida St.,East,4,Sweet 16,2,ACC,
2016 Fresno St.,2016,Fresno St.,Midwest,14,First Round,1,MWC,
2023 Furman,2023,Furman,South,13,Second Round,1,Southern,
2019 Gardner Webb,2019,Gardner Webb,South,16,First Round,1,Big South,
2008 George Mason,2008,George Mason,East,12,First Round,1,CAA,
2011 George Mason,2011,George Mason,East,8,Second Round,1,CAA,
2014 George Washington,2014,George Washington,East,9,First Round,1,A10,
2008 Georgetown,2008,Georgetown,Midwest,2,Second Round,1,Big East,
