game_id,id,year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,high_bracket_score,low_bracket_score,point_diff,point_total,win
20142309,2309,2014,West,Second Round,1,2014 Arizona,8,2014 Gonzaga,84,61,23,145,1
20142310,2310,2014,West,Second Round,12,2014 North Dakota St.,4,2014 San Diego St.,44,63,-19,107,0
20142311,2311,2014,West,Second Round,6,2014 Baylor,3,2014 Creighton,85,55,30,140,1
20142312,2312,2014,West,Second Round,7,2014 Oregon,2,2014 Wisconsin,77,85,-8,162,0
20142409,2409,2014,Midwest,Second Round,1,2014 Wichita St.,8,2014 Kentucky,76,78,-2,154,0
20142410,2410,2014,Midwest,Second Round,5,2014 Saint Louis,4,2014 Louisville,51,66,-15,117,0
20142411,2411,2014,Midwest,Second Round,11,2014 Tennessee,14,2014 Mercer,83,63,20,146,1
20142412,2412,2014,Midwest,Second Round,7,2014 Texas,2,2014 Michigan,65,79,-14,144,0
20152109,2109,2015,Midwest,Second Round,1,2015 Kentucky,8,2015 Cincinnati,64,51,13,115,1
20152110,2110,2015,Midwest,Second Round,5,2015 West Virginia,4,2015 Maryland,69,59,10,128,1
20152111,2111,2015,Midwest,Second Round,6,2015 Butler,3,2015 Notre Dame,64,67,-3,131,0
20152112,2112,2015,Midwest,Second Round,7,2015 Wichita St.,2,2015 Kansas,78,65,13,143,1
20152209,2209,2015,West,Second Round,1,2015 Wisconsin,8,2015 Oregon,72,65,7,137,1
20152210,2210,2015,West,Second Round,5,2015 Arkansas,4,2015 North Carolina,78,87,-9,165,0
20152211,2211,2015,West,Second Round,6,2015 Xavier,14,2015 Georgia St.,75,67,8,142,1
20152212,2212,2015,West,Second Round,10,2015 Ohio St.,2,2015 Arizona,58,73,-15,131,0
20152309,2309,2015,East,Second Round,1,2015 Villanova,8,2015 NC St.,68,71,-3,139,0
20152310,2310,2015,East,Second Round,5,2015 Northern Iowa,4,2015 Louisville,53,66,-13,119,0
